From Date,To Date,KE_PM2.5,KE_PM10,KE_NO2,KE_CO,K_PM2.5,K_PM10,K_NO2,K_CO,VPW_PM2.5,VPW_PM10,VPW_NO2,VPW_CO,D_PM2.5,D_PM10,D_NO2,D_CO,C_PM2.5,C_PM10,C_NO2,C_CO,BKC_PM2.5,BKC_PM10,BKC_NO2,BKC_CO,CE_PM2.5,CE_PM10,CE_NO2,CE_CO,SN_PM2.5,SN_PM10,SN_NO2,SN_CO,CSIA(_PM2.5,CSIA(_PM10,CSIA(_NO2,CSIA(_CO,S_PM2.5,S_PM10,S_NO2,S_CO
01-01-2025 00:00,01-01-2025 01:00,75.0,154.15,69.45,1.2,23.96,106.36,8.57,0.65,64.55,242.33,43.52,0.41,86.03,217.41,59.13,1.65,61.33,125.21,33.23,1.18,95.06,242.03,81.0,2.03,98.59,193.7,0.12,1.57,126.03,236.84,19.49,1.04,46.32,247.48,33.66,0.66,80.57,177.27,17.27,0.81
01-01-2025 01:00,01-01-2025 02:00,85.82,175.31,64.24,1.54,23.96,106.36,8.57,0.65,65.37,243.08,39.97,0.41,89.39,210.35,50.58,1.65,64.5,128.47,26.53,1.06,99.95,302.12,69.84,1.71,98.59,193.7,1.0,1.64,136.81,236.84,14.22,0.78,39.02,188.4,34.01,0.67,85.06,177.27,18.17,0.77
01-01-2025 02:00,01-01-2025 03:00,96.84,200.84,63.87,1.67,23.96,106.36,8.57,0.65,72.77,244.03,36.85,0.41,93.28,177.3,33.19,1.65,68.74,129.52,24.96,1.02,118.22,327.22,62.31,1.62,98.59,193.7,2.41,1.47,118.35,153.97,14.04,0.64,47.56,221.89,34.45,0.67,70.77,177.27,15.6,0.75
01-01-2025 03:00,01-01-2025 04:00,95.6,200.56,56.27,1.74,23.96,106.36,8.57,0.65,71.63,241.11,41.75,0.41,84.31,146.97,27.67,1.65,67.42,124.98,16.59,0.94,119.73,292.31,59.78,1.3,98.59,193.7,4.63,1.36,122.22,191.31,13.02,0.56,41.42,178.55,31.4,0.61,70.33,177.27,15.1,0.72
01-01-2025 04:00,01-01-2025 05:00,85.95,191.51,52.7,1.74,23.96,106.36,8.57,0.65,67.96,225.62,40.49,0.41,78.01,135.82,28.18,1.65,63.68,129.92,16.25,0.92,114.93,253.78,67.14,0.92,98.59,193.7,6.76,1.33,117.63,136.05,12.65,0.52,38.79,173.7,31.11,0.61,76.57,177.27,15.57,0.72
01-01-2025 05:00,01-01-2025 06:00,81.16,182.15,63.45,1.63,23.96,106.36,8.57,0.65,65.93,212.87,40.52,0.41,84.23,146.38,33.28,1.65,63.4,125.73,18.39,0.94,104.36,211.03,69.61,0.8,98.59,193.7,17.68,1.31,114.75,162.61,13.72,0.46,42.97,192.06,30.15,0.59,80.62,177.27,15.54,0.72
01-01-2025 06:00,01-01-2025 07:00,76.99,175.8,65.22,1.48,23.96,106.36,8.57,0.65,58.03,187.0,40.15,0.43,82.81,142.01,36.4,1.65,67.57,130.6,27.27,0.96,103.02,157.9,69.18,0.56,98.59,193.7,11.95,1.19,113.38333333333334,160.03566666666669,15.61,0.44,40.12,170.03,23.82,0.46,67.91,177.27,15.18,0.7
01-01-2025 07:00,01-01-2025 08:00,73.22,171.5,56.98,1.33,23.96,106.36,8.57,0.65,49.69,162.85,38.14,0.41,89.4,145.69,38.67,1.65,67.93,137.77,21.23,0.84,95.41,133.26,64.69,0.56,98.59,193.7,59.8,1.07,112.01666666666667,157.46133333333336,15.72,0.4,38.98,150.6,24.05,0.47,66.23,177.27,15.56,0.7
01-01-2025 08:00,01-01-2025 09:00,69.96,170.81,71.22,1.17,23.96,106.36,8.57,0.65,45.15,159.08,38.28,0.41,80.83,139.81,31.58,1.65,67.11,131.08,18.24,0.79,85.34,165.78,70.71,0.57,98.59,193.7,47.89,0.7,110.65,154.887,14.15,0.38,38.08,152.35,20.07,0.39,67.29,177.27,14.57,0.68
01-01-2025 09:00,01-01-2025 10:00,63.94,165.03,72.93,1.0,23.96,106.36,8.57,0.65,40.8,160.2,41.91,0.41,67.01,134.29,21.41,1.65,64.22,132.38,12.61,0.7,87.95,166.23,73.11,0.43,98.59,193.7,46.4,0.81,109.28333333333333,152.31266666666667,11.29,0.29,34.45,136.07,18.68,0.36,63.71,177.27,13.34,0.68
01-01-2025 10:00,01-01-2025 11:00,59.53,156.99,76.6,0.85,23.96,106.36,8.57,0.65,36.38,149.35,34.42,0.41,51.68,111.14,17.39,1.65,61.84,125.18,9.97,0.66,88.94,159.18,78.59,0.36,98.59,193.7,37.19,0.71,107.91666666666667,149.73833333333334,11.46,0.22,33.01,142.0,18.53,0.36,59.53,177.27,12.89,0.68
01-01-2025 11:00,01-01-2025 12:00,58.35,152.04,66.21,0.66,23.96,106.36,8.57,0.65,33.48,131.47,38.74,0.41,52.64,108.73,14.39,1.65,55.59,117.19,7.96,0.59,82.27,146.85,65.36,0.23,98.59,193.7,36.06,0.63,106.55,147.16400000000002,10.17,0.17,31.54,134.34,17.73,0.35,56.73,177.27,12.75,0.67
01-01-2025 12:00,01-01-2025 13:00,54.08,135.4,49.13,0.51,23.96,106.36,8.57,0.65,30.58,127.28,36.94,0.41,49.95,99.5,11.81,1.65,54.85,111.04,5.29,0.53,75.46,130.84,46.3,0.17,98.59,193.7,21.82,0.52,105.18333333333334,144.5896666666667,9.28,0.1,30.85,130.85,15.32,0.31,53.76,177.27,9.54,0.65
01-01-2025 13:00,01-01-2025 14:00,49.62,122.84,25.55,0.38,23.96,106.36,8.57,0.65,34.42,133.92,46.22,0.42,58.43,93.83,12.77,1.65,43.65,105.18,4.03,0.51,63.59,86.24,35.3,0.35,98.59,193.7,36.02,0.42,103.81666666666666,142.01533333333333,9.17,0.1,28.89,114.99,14.21,0.28,49.06,177.27,8.85,0.66
01-01-2025 14:00,01-01-2025 15:00,46.65,111.09,21.7,0.26,23.96,106.36,8.57,0.65,33.59,136.46,45.2,0.42,66.91,88.16,11.6,1.65,46.43,94.96,6.66,0.53,54.29,106.97,32.49,0.42,98.59,193.7,33.14,0.34,102.45,139.441,9.24,0.01,26.51,100.25,15.02,0.3,49.9,177.27,10.07,0.67
01-01-2025 15:00,01-01-2025 16:00,44.12,98.68,17.98,0.14,23.96,106.36,8.57,0.65,35.65,132.15,44.0,0.42,45.84,74.56,23.57,1.65,46.06,98.46,9.82,0.55,57.41,116.6,33.13,0.43,98.59,193.7,32.45,0.34,101.08333333333333,136.86666666666667,15.81,0.31,28.21,108.34,16.69,0.33,51.66,177.27,9.25,0.65
01-01-2025 16:00,01-01-2025 17:00,41.38,92.86,19.42,0.4,23.96,106.36,8.57,0.65,33.81,130.91,49.67,0.42,24.68,91.65,25.39,1.65,46.53,98.21,11.44,0.56,49.97,117.04,29.28,0.39,98.59,193.7,28.76,0.31,99.71666666666667,134.29233333333335,18.16,0.36,30.31,135.4,15.98,0.31,51.77,177.27,8.66,0.65
01-01-2025 17:00,01-01-2025 18:00,41.18,87.38,20.73,0.39,24.16,107.1,8.5,0.64,31.85,127.18,45.14,0.42,13.84,100.81,28.9,1.65,46.87,96.46,15.0,0.56,63.03,115.85,32.78,0.27,98.59,193.7,27.07,0.32,98.35,131.71800000000002,17.82,0.42,30.77,123.33,16.14,0.32,50.93,177.27,9.0,0.64
01-01-2025 18:00,01-01-2025 19:00,40.97,85.73,24.09,0.41,23.05,103.01,8.12,0.6,32.3,128.32,41.69,0.42,27.48,95.51,54.52,1.65,44.11,95.12,20.66,0.67,61.11,113.84,39.68,0.29,98.59,193.7,42.39,0.38,96.98333333333333,129.14366666666666,21.19,0.51,29.43,124.89,18.5,0.36,51.43,177.27,9.17,0.65
01-01-2025 19:00,01-01-2025 20:00,38.34,81.48,34.82,0.43,22.46,100.86,7.47,0.54,27.33,119.18,47.25,0.42,39.6,109.34,51.95,1.65,40.98,89.71,26.19,0.76,55.37,89.62,48.19,0.34,98.59,193.7,45.69,0.43,95.61666666666667,126.56933333333333,19.09,0.59,31.75,131.12,21.32,0.42,52.59,177.27,9.79,0.65
01-01-2025 20:00,01-01-2025 21:00,39.54,79.29,47.97,0.47,21.24,96.41,8.27,0.62,37.19,122.77,43.95,0.42,51.59,112.06,59.26,1.65,42.94,98.08,30.72,0.88,49.15,99.14,73.58,0.63,98.59,193.7,53.3,0.51,94.25,123.995,21.36,0.84,32.82,133.0,24.29,0.48,51.83,177.27,10.78,0.67
01-01-2025 21:00,01-01-2025 22:00,39.92,86.15,52.38,0.56,22.49,100.94,8.98,0.69,35.98,142.66,39.19,0.42,79.25,144.56,64.06,1.65,43.21,95.39,27.93,0.9,48.15,106.9,85.38,0.95,98.59,193.7,40.67,0.62,92.88333333333333,121.42066666666668,17.69,1.44,34.54,152.03,24.56,0.48,51.77,177.27,10.21,0.68
01-01-2025 22:00,01-01-2025 23:00,38.56,89.39,45.81,0.61,25.59,112.35,11.67,0.96,33.54,142.7,40.56,0.42,90.07,178.06,56.94,1.65,43.26,91.01,36.38,1.08,47.92,141.47,77.08,0.81,98.59,193.7,41.52,0.77,91.51666666666667,118.84633333333333,12.47,1.98,35.24,155.47,29.36,0.57,62.72,177.27,11.93,0.71
01-01-2025 23:00,02-01-2025 00:00,38.7,85.13,48.66,0.63,30.71,131.11,13.71,1.16,32.25,145.3,41.96,0.42,94.16,197.61,49.73,1.65,45.22,101.53,42.28,1.32,53.72,153.23,78.86,0.81,98.59,193.7,37.38,0.93,90.15,116.27199999999999,14.5,1.91,36.93,169.93,34.16,0.67,61.79,177.27,12.79,0.71
02-01-2025 00:00,02-01-2025 01:00,35.92,82.95,54.66,0.64,28.0,121.18,12.16,1.01,28.84,132.93,40.98,0.42,81.55,186.3,50.1,1.65,52.66,106.39,36.2,1.5,59.44,154.55,78.26,0.89,98.59,193.7,78.31,1.06,88.78333333333333,113.69766666666666,17.91,1.4,39.55,190.49,29.38,0.58,58.58,177.27,13.38,0.72
02-01-2025 01:00,02-01-2025 02:00,35.89,83.48,58.93,0.68,26.57,115.45,11.87,0.98,27.05,129.25,38.46,0.42,69.7,165.61,45.33,1.65,54.89,105.0,33.9,1.53,59.61,157.45,64.86,1.04,98.59,193.7,55.57,1.12,87.41666666666666,111.12333333333333,16.23,0.7,37.07,166.3,26.21,0.51,56.41,177.27,14.68,0.73
02-01-2025 02:00,02-01-2025 03:00,39.71,90.03,53.41,0.8,25.54,110.81,13.66,1.19,27.75,123.85,42.37,0.42,66.93,142.91,43.45,1.65,53.4,113.85,24.34,1.03,62.02,195.04,56.57,1.18,98.59,193.7,36.59,0.89,86.05,108.549,14.78,0.55,34.35,147.98,25.64,0.5,59.09,177.27,18.16,0.75
02-01-2025 03:00,02-01-2025 04:00,42.89,101.65,51.93,0.95,26.07,115.6,14.98,1.33,33.99,136.43,34.93,0.42,56.82,111.4,36.03,1.65,48.08,105.22,15.41,0.84,68.86,225.06,61.19,0.86,98.59,193.7,35.7,1.06,84.68333333333334,105.97466666666666,13.6,0.47,36.01,150.77,27.62,0.54,69.94,177.27,16.87,0.69
02-01-2025 04:00,02-01-2025 05:00,43.03,105.28,57.49,0.98,22.61,101.35,13.32,1.12,36.23,140.15,43.17,0.42,53.59,99.54,35.61,1.65,47.45,97.13,17.54,0.84,67.3,203.37,57.39,0.58,98.59,193.7,40.28,0.99,83.31666666666666,103.40033333333332,14.75,0.41,37.57,152.5,27.66,0.54,57.43,177.27,15.73,0.68
02-01-2025 05:00,02-01-2025 06:00,43.18,103.79,64.88,0.96,20.25,92.78,10.69,0.86,37.98,136.27,37.36,0.41,51.95,98.11,33.87,1.65,47.48,102.02,19.33,0.74,64.91,171.03,64.42,0.69,98.59,193.7,30.78,0.66,81.95,100.826,15.46,0.29,34.43,142.94,22.97,0.45,53.47,177.27,14.77,0.68
02-01-2025 06:00,02-01-2025 07:00,43.15,101.75,70.67,0.93,21.27,96.51,12.13,1.01,32.0,117.0,38.73,0.41,43.23,104.59,38.49,1.65,47.48,91.8,21.97,0.7,62.3,153.99,58.59,0.99,98.59,193.7,29.9,0.79,80.58333333333334,98.25166666666667,18.46,0.3,32.19,122.29,19.63,0.39,57.49,177.27,14.88,0.68
02-01-2025 07:00,02-01-2025 08:00,45.92,104.14,61.3,0.96,23.48,104.6,10.61,0.85,35.6,121.2,36.65,0.41,47.02,103.66,39.27,1.65,49.36,105.83,24.43,0.73,70.22,177.56,66.59,1.13,98.59,193.7,34.83,0.77,79.21666666666667,95.67733333333332,16.88,0.44,32.82,120.62,18.27,0.36,62.0,177.27,14.92,0.68
02-01-2025 08:00,02-01-2025 09:00,48.32,115.51,73.85,0.86,23.25,103.75,10.28,0.82,35.6,136.65,36.07,0.41,51.02,125.49,38.39,1.65,54.06,108.11,26.77,0.78,72.96,191.24,75.78,0.71,98.59,193.7,43.56,0.61,77.85,93.103,16.82,0.4,31.54,122.47,19.52,0.38,65.92,177.27,14.82,0.68
